nomor_kartu_keluarga,desil_nasional,bahan_bakar_utama_memasak,kepemilikan_aset,aset_bergerak_tabung_gas,aset_bergerak_lemari_es,aset_bergerak_ac,aset_bergerak_pemanas_air,aset_bergerak_telepon_rumah,aset_bergerak_tv_datar,aset_bergerak_emas_perhiasan,aset_bergerak_komputer_laptop_tablet,aset_bergerak_sepeda_motor,aset_bergerak_sepeda,aset_bergerak_mobil,aset_bergerak_perahu,aset_bergerak_kapal_perahu_motor,aset_bergerak_smartphone,aset_tidak_bergerak_lahan_lainnya,aset_tidak_bergerak_rumah_lainnya,jumlah_ternak_sapi,jumlah_ternak_kerbau,jumlah_ternak_kuda,jumlah_ternak_babi,jumlah_ternak_kambing_domba
1271000000000038,4,04,19,1,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,0,0,0,0,0
6371000000000039,10,03,10,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,2
3578000000000040,1,03,15,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,0,0,0,0,13
3171000000000041,4,06,13,2,2,1,2,1,1,1,2,1,2,2,2,2,1,1,2,0,0,0,8,0
3172000000000042,5,06,14,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,0,0,0,0,0
3173000000000043,4,04,15,2,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,0,0,0,0,13
3174000000000044,9,02,19,1,2,1,1,2,1,2,1,1,1,1,2,1,1,2,2,0,0,0,0,0
3175000000000045,2,04,15,2,1,1,2,2,1,2,2,1,2,2,1,2,1,2,2,0,1,0,0,10
3201000000000046,10,05,11,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,0,0,0,0,0
3273000000000047,8,01,3,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,0,0,0,0,0
3276000000000048,4,01,12,2,1,2,2,2,2,2,2,1,2,1,2,2,1,1,2,0,0,1,0,0
3374000000000049,3,06,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,2,2,0,0,0,0,0
3372000000000050,2,03,19,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,0,0,0,1,0
