nomor_kartu_keluarga,nama_anggota_keluarga,jumlah_anggota_keluarga,nomor_induk_kependudukan,nama,tanggal_lahir,jenis_kelamin,status_kawin,status_hubungan_keluarga,alamat,kode_provinsi,kode_kabupaten_kota,kode_kecamatan,kode_kelurahan_desa,alamat_ktp,rt_ktp,rw_ktp,dusun_ktp,kode_provinsi_ktp,kode_kabupaten_kota_ktp,kode_kecamatan_ktp,kode_kelurahan_desa_ktp
3171000040905340,SURYA SETIAWAN; NINA PRATAMA; AGUS HIDAYAT,3,3171141170001800,AGUS HIDAYAT,1970-11-14,1,1,3,JL. KARTINI NO. 52 RT 06 RW 03 GAMBIR GAMBIR JAKARTA PUSAT,31,3171,317101,3171011001,JL. VETERAN NO. 133 GAMBIR GAMBIR JAKARTA PUSAT,08,03,Dusun V,31,3171,317101,3171011001
3171000040905340,SURYA SETIAWAN; NINA PRATAMA; AGUS HIDAYAT,3,3171220171001900,SURYA HARTONO,1971-01-22,1,2,7,JL. SOEKARNO HATTA NO. 108 RT 13 RW 09 GAMBIR GAMBIR JAKARTA PUSAT,31,3171,317101,3171011001,JL. KARTINI NO. 49 BEJI BEJI KOTA DEPOK,11,10,,32,3276,327601,3276011001
3471000079612692,OSCAR HARAHAP; RIZKY PERMANA,5,3471270852002000,RIZKY PERMANA,1952-08-27,1,1,3,JL. VETERAN NO. 49 RT 02 RW 05 BAUSASRAN DANUREJAN KOTA YOGYAKARTA,34,3471,347101,3471011001,JL. RAYA BOGOR NO. 51 BAUSASRAN DANUREJAN KOTA YOGYAKARTA,09,01,,34,3471,347101,3471011001
6371000036950169,MUHAMMAD NASUTION; FIRMAN HIDAYAT; ELSA HALIM,5,6371670360002100,ELSA HALIM,1960-03-27,2,3,1,JL. KEBON JERUK NO. 37 RT 10 RW 09 KERTAK HANYAR BANJARMASIN TENGAH KOTA BANJARMASIN,63,6371,637101,6371011001,JL. HAYAM WURUK NO. 21 PASAR BARU SAWAH BESAR JAKARTA PUSAT,01,06,Dusun IV,31,3171,317102,3171021001
3171000040905340,SURYA SETIAWAN; NINA PRATAMA; AGUS HIDAYAT,3,3171550851002200,RANIA NUGROHO,1951-08-15,2,3,3,JL. MERDEKA NO. 138 RT 05 RW 02 GAMBIR GAMBIR JAKARTA PUSAT,31,3171,317101,3171011001,JL. GATOT SUBROTO NO. 1 CIBINONG CIBINONG KAB. BOGOR,08,06,Dusun V,32,3201,320101,3201011001
3273000021135441,TONY LUBIS; OKTA SIREGAR; WULAN KUSUMA,4,3273630360002300,WULAN KUSUMA,1960-03-23,2,2,3,JL. SOEKARNO HATTA NO. 109 RT 18 RW 07 CIJAGRA LENGKONG KOTA BANDUNG,32,3273,327301,3273011001,JL. DIPONEGORO NO. 70 CIJAGRA LENGKONG KOTA BANDUNG,09,06,,32,3273,327301,3273011001
3171000040905340,SURYA SETIAWAN; NINA PRATAMA; AGUS HIDAYAT,3,3171131055002400,RIZKY PURNAMA,1955-10-13,1,2,3,JL. PEMUDA NO. 27 RT 09 RW 05 PASAR BARU SAWAH BESAR JAKARTA PUSAT,31,3171,317102,3171021001,JL. KEBON JERUK NO. 20 PASAR BARU SAWAH BESAR JAKARTA PUSAT,15,09,Dusun I,31,3171,317102,3171021001
3471000079612692,OSCAR HARAHAP; RIZKY PERMANA; DEWI WIBOWO,5,3471501260002500,DEWI WIBOWO,1960-12-10,2,4,1,JL. GAJAH MADA NO. 114 RT 14 RW 06 BAUSASRAN DANUREJAN KOTA YOGYAKARTA,34,3471,347101,3471011001,JL. RAYA BOGOR NO. 102 BAUSASRAN DANUREJAN KOTA YOGYAKARTA,20,09,Dusun II,34,3471,347101,3471011001
7371000029181264,YUSUF HARAHAP; DEWI PRATAMA,2,7371110256002600,UMAR SUSANTO,1956-02-11,1,4,3,JL. GATOT SUBROTO NO. 22 RT 01 RW 01 MARISO MARISO KOTA MAKASSAR,73,7371,737101,7371011001,JL. MERDEKA NO. 6 MARISO MARISO KOTA MAKASSAR,14,04,,73,7371,737101,7371011001
3671000013127789,MAMAN LESTARI; PUTRA HIDAYAT,2,3671300978002700,PUTRA HIDAYAT,1978-09-30,1,1,2,JL. HAYAM WURUK NO. 111 RT 10 RW 03 TANAH TINGGI TANGERANG KOTA TANGERANG,36,3671,367101,3671011001,JL. DIPONEGORO NO. 80 TANAH TINGGI TANGERANG KOTA TANGERANG,10,03,,36,3671,367101,3671011001
3573000031583815,HARIS HARAHAP; BUDI SIREGAR; DODY NASUTION,3,3573230787002800,DODY NASUTION,1987-07-23,1,1,2,JL. KEBON JERUK NO. 69 RT 17 RW 05 KLOJEN KLOJEN KOTA MALANG,35,3573,357301,3573011001,JL. SUDIRMAN NO. 18 KLOJEN KLOJEN KOTA MALANG,06,05,Dusun II,35,3573,357301,3573011001
1271000061145210,AHMAD SETIAWAN; MIRA WAHYUDI,2,1271630692002900,ULFA SETIAWAN,1992-06-23,2,2,1,JL. RAYA BOGOR NO. 124 RT 07 RW 09 SUNGAI MATI MEDAN KOTA KOTA MEDAN,12,1271,127101,1271011001,JL. VETERAN NO. 118 SUNGAI MATI MEDAN KOTA KOTA MEDAN,09,09,Dusun V,12,1271,127101,1271011001
3175000062091490,PUTRA SETIAWAN; PUTRI NASUTION; GITA NUGROHO,4,3175550563003000,GITA NUGROHO,1963-05-15,2,2,4,JL. GAJAH MADA NO. 59 RT 20 RW 06 PALMERIAM MATRAMAN JAKARTA TIMUR,31,3175,317501,3175011001,JL. CIPUTAT RAYA NO. 103 MARISO MARISO KOTA MAKASSAR,14,03,Dusun I,73,7371,737101,7371011001
3276000072953355,ZAINAL GUNAWAN; GILANG KUSUMA,2,3276121250003100,GILANG KUSUMA,1950-12-12,1,3,3,JL. PAHLAWAN NO. 28 RT 03 RW 01 BEJI BEJI KOTA DEPOK,32,3276,327601,3276011001,JL. PAHLAWAN NO. 30 BEJI BEJI KOTA DEPOK,03,04,Dusun V,32,3276,327601,3276011001
3201000098659922,NOVAN SINAGA; RANIA SANTOSO; YUSUF RAHAYU,5,3201170273003200,YUSUF RAHAYU,1973-02-17,1,2,2,JL. PAHLAWAN NO. 29 RT 11 RW 01 CIBINONG CIBINONG KAB. BOGOR,32,3201,320101,3201011001,JL. A. YANI NO. 65 CIBINONG CIBINONG KAB. BOGOR,11,09,Dusun I,32,3201,320101,3201011001
6371000036950169,MUHAMMAD NASUTION; FIRMAN HIDAYAT; ELSA HALIM; RANIA HIDAYAT,5,6371650898003300,RANIA HIDAYAT,1998-08-25,2,2,1,JL. SOEKARNO HATTA NO. 34 RT 02 RW 06 KERTAK HANYAR BANJARMASIN TENGAH KOTA BANJARMASIN,63,6371,637101,6371011001,JL. IMAM BONJOL NO. 122 KERTAK HANYAR BANJARMASIN TENGAH KOTA BANJARMASIN,08,04,,63,6371,637101,6371011001
3518000077537749,NOVAN WIJAYA; BAGAS WAHYUDI,3,3518010304003400,BAGAS WAHYUDI,2004-03-01,1,2,7,JL. MERDEKA NO. 133 RT 18 RW 05 BANGSAL BANGSAL KAB. MOJOKERTO,35,3518,351801,3518011001,JL. IMAM BONJOL NO. 12 SUNGAI MATI MEDAN KOTA KOTA MEDAN,12,03,Dusun III,12,1271,127101,1271011001
3518000077537749,NOVAN WIJAYA; BAGAS WAHYUDI; ZAINAL LUBIS,3,3518251197003500,ZAINAL LUBIS,1997-11-25,1,2,3,JL. DIPONEGORO NO. 45 RT 18 RW 06 BANGSAL BANGSAL KAB. MOJOKERTO,35,3518,351801,3518011001,JL. IMAM BONJOL NO. 51 BANGSAL BANGSAL KAB. MOJOKERTO,10,01,,35,3518,351801,3518011001
3578000016887758,BAGAS SETIAWAN; FENI SAPUTRA; NOVAN NASUTION,5,3578120853003600,NOVAN NASUTION,1953-08-12,1,1,3,JL. SOEKARNO HATTA NO. 101 RT 14 RW 09 GENTENG GENTENG KOTA SURABAYA,35,3578,357801,3578011001,JL. DIPONEGORO NO. 53 GENTENG GENTENG KOTA SURABAYA,19,07,Dusun V,35,3578,357801,3578011001
3173000093741078,AGUS HIDAYAT; EKO SUSANTO,2,3173690162003700,EKA SAPUTRA,1962-01-29,2,1,1,JL. CIPUTAT RAYA NO. 2 RT 12 RW 07 CENGKARENG BARAT CENGKARENG JAKARTA BARAT,31,3173,317301,3173011001,JL. KEBON JERUK NO. 105 CENGKARENG BARAT CENGKARENG JAKARTA BARAT,19,02,Dusun V,31,3173,317301,3173011001
3201000098659922,NOVAN SINAGA; RANIA SANTOSO; YUSUF RAHAYU; KEVIN WIBOWO,5,3201060262003800,KEVIN WIBOWO,1962-02-06,1,1,4,JL. HAYAM WURUK NO. 131 RT 18 RW 05 CIBINONG CIBINONG KAB. BOGOR,32,3201,320101,3201011001,JL. KEBON JERUK NO. 78 CIBINONG CIBINONG KAB. BOGOR,17,09,Dusun III,32,3201,320101,3201011001
3674000020893130,GILANG NASUTION; REZA NASUTION; NURUL PANJAITAN,5,3674500684003900,NURUL PANJAITAN,1984-06-10,2,2,2,JL. GATOT SUBROTO NO. 126 RT 08 RW 08 CIPUTAT CIPUTAT KOTA TANGERANG SELATAN,36,3674,367401,3674011001,JL. SUDIRMAN NO. 33 CIPUTAT CIPUTAT KOTA TANGERANG SELATAN,10,04,,36,3674,367401,3674011001
3573000031583815,HARIS HARAHAP; BUDI SIREGAR; DODY NASUTION,3,3573490456004000,RANIA WAHYUDI,1956-04-09,2,2,7,JL. GATOT SUBROTO NO. 91 RT 18 RW 01 KLOJEN KLOJEN KOTA MALANG,35,3573,357301,3573011001,JL. GAJAH MADA NO. 118 CIBINONG CIBINONG KAB. BOGOR,01,08,Dusun IV,32,3201,320101,3201011001
3172000043708917,DODY HARTONO; HANA SITUMORANG,2,3172530450004100,HANA SITUMORANG,1950-04-13,2,1,1,JL. VETERAN NO. 57 RT 05 RW 07 PENJARINGAN PENJARINGAN JAKARTA UTARA,31,3172,317201,3172011001,JL. MERDEKA NO. 9 PENJARINGAN PENJARINGAN JAKARTA UTARA,18,08,Dusun V,31,3172,317201,3172011001
3172000043708917,DODY HARTONO; HANA SITUMORANG,2,3172670155004200,RINA LUBIS,1955-01-27,2,2,4,JL. HAYAM WURUK NO. 101 RT 12 RW 08 PENJARINGAN PENJARINGAN JAKARTA UTARA,31,3172,317201,3172011001,JL. CIPUTAT RAYA NO. 148 PENJARINGAN PENJARINGAN JAKARTA UTARA,12,03,Dusun I,31,3172,317201,3172011001
3276000072953355,ZAINAL GUNAWAN; GILANG KUSUMA,2,3276500298004300,GITA LUBIS,1998-02-10,2,3,7,JL. KEBON JERUK NO. 68 RT 06 RW 09 BEJI BEJI KOTA DEPOK,32,3276,327601,3276011001,JL. KEBON JERUK NO. 78 BEJI BEJI KOTA DEPOK,03,07,,32,3276,327601,3276011001
3671000013127789,MAMAN LESTARI; PUTRA HIDAYAT,2,3671440150004400,FENI SIHOMBING,1950-01-04,2,1,7,JL. MERDEKA NO. 65 RT 08 RW 03 TANAH TINGGI TANGERANG KOTA TANGERANG,36,3671,367101,3671011001,JL. SILIWANGI NO. 92 CIJAGRA LENGKONG KOTA BANDUNG,10,05,,32,3273,327301,3273011001
3173000093741078,AGUS HIDAYAT; EKO SUSANTO,2,3173630664004500,KIKI HALIM,1964-06-23,2,2,1,JL. A. YANI NO. 2 RT 05 RW 09 CENGKARENG BARAT CENGKARENG JAKARTA BARAT,31,3173,317301,3173011001,JL. CIPUTAT RAYA NO. 146 CENGKARENG BARAT CENGKARENG JAKARTA BARAT,16,06,Dusun III,31,3173,317301,3173011001
3578000016887758,BAGAS SETIAWAN; FENI SAPUTRA; NOVAN NASUTION; MUHAMMAD HARTONO,5,3578120505004600,MUHAMMAD HARTONO,2005-05-12,1,3,4,JL. GAJAH MADA NO. 40 RT 15 RW 04 GENTENG GENTENG KOTA SURABAYA,35,3578,357801,3578011001,JL. CIPUTAT RAYA NO. 85 GENTENG GENTENG KOTA SURABAYA,11,07,,35,3578,357801,3578011001
3671000013127789,MAMAN LESTARI; PUTRA HIDAYAT,2,3671111055004700,HENDRA PURNAMA,1955-10-11,1,2,3,JL. PEMUDA NO. 41 RT 08 RW 07 TANAH TINGGI TANGERANG KOTA TANGERANG,36,3671,367101,3671011001,JL. GATOT SUBROTO NO. 121 TANAH TINGGI TANGERANG KOTA TANGERANG,06,01,Dusun I,36,3671,367101,3671011001
1271000061145210,AHMAD SETIAWAN; MIRA WAHYUDI,2,1271650469004800,KIKI SUSANTO,1969-04-25,2,2,4,JL. IMAM BONJOL NO. 2 RT 06 RW 09 SUNGAI MATI MEDAN KOTA KOTA MEDAN,12,1271,127101,1271011001,JL. VETERAN NO. 37 SUNGAI MATI MEDAN KOTA KOTA MEDAN,14,06,Dusun V,12,1271,127101,1271011001
3171000040905340,SURYA SETIAWAN; NINA PRATAMA; AGUS HIDAYAT,3,3171480101004900,SARI NAINGGOLAN,2001-01-08,2,2,1,JL. VETERAN NO. 124 RT 15 RW 08 PASAR BARU SAWAH BESAR JAKARTA PUSAT,31,3171,317102,3171021001,JL. SOEKARNO HATTA NO. 115 PASAR BARU SAWAH BESAR JAKARTA PUSAT,17,08,Dusun V,31,3171,317102,3171021001
3372000058658147,FIRMAN KUSUMA; EKA WAHYUDI; LUKMAN LESTARI,3,3372611058005000,MIRA WIJAYA,1958-10-21,2,4,3,JL. MERDEKA NO. 32 RT 12 RW 08 LAWEYAN LAWEYAN KOTA SURAKARTA,33,3372,337201,3372011001,JL. HAYAM WURUK NO. 32 LAWEYAN LAWEYAN KOTA SURAKARTA,11,01,Dusun IV,33,3372,337201,3372011001
